Radiohead                                    	3.92281 	781K
Kendrick Lamar                               	3.97900 	465K
The Beatles                                  	3.89091 	726K
Joy Division                                 	4.06109 	148K
King Crimson                                 	3.96288 	294K
Nick Drake                                   	4.08888 	105K
MF DOOM                                      	4.00582 	198K
Portishead                                   	4.06934 	119K
Talking Heads                                	3.97709 	237K
The Smiths                                   	3.98102 	225K
The Velvet Underground                       	3.99666 	197K
Pink Floyd                                   	3.85710 	598K
John Coltrane                                	3.96692 	245K
Madlib                                       	4.00932 	167K
Fishmans                                     	4.03951 	130K
Miles Davis                                  	3.92635 	312K
Jimi Hendrix                                 	4.01767 	146K
Godspeed You! Black Emperor                  	3.96612 	217K
Nirvana                                      	3.94334 	251K
Elliott Smith                                	4.01628 	138K
Charles Mingus                               	4.01263 	131K
A Tribe Called Quest                         	4.01432 	127K
Nico                                         	4.02194 	118K
My Bloody Valentine                          	3.95069 	203K
Björk                                        	3.85953 	339K
Death Grips                                  	3.8389  	370K
Kate Bush                                    	3.93151 	167K
David Bowie                                  	3.77606 	590K
Frank Ocean                                  	3.92802 	163K
Black Sabbath                                	3.83969 	307K
Led Zeppelin                                 	3.84255 	288K
Cocteau Twins                                	3.90367 	176K
The Cure                                     	3.83254 	310K
Slint                                        	4.00388 	74K
The Microphones                              	3.9533  	106K
OutKast                                      	3.93340 	123K
Neutral Milk Hotel                           	3.95117 	106K
Talk Talk                                    	3.95782 	96K
Death                                        	3.92921 	118K
Television                                   	4.02503 	55K
Black Country, New Road                      	3.91114 	132K
Slowdive                                     	3.88999 	149K
Jeff Buckley                                 	4.00584 	58K
Sufjan Stevens                               	3.82644 	222K
Swans                                        	3.77935 	322K
Bob Dylan                                    	3.75106 	392K
Danny Brown                                  	3.83170 	193K
Aphex Twin                                   	3.79099 	265K
Stevie Wonder                                	3.89679 	112K
Marvin Gaye                                  	3.93028 	86K
Boards of Canada                             	3.87677 	130K
JPEGMAFIA                                    	3.78467 	263K
Joanna Newsom                                	3.96563 	62K
Magdalena Bay                                	3.91748 	89K
Can                                          	3.86290 	133K
Pharoah Sanders                              	3.93159 	76K
Nujabes                                      	3.96694 	58K
C418                                         	4.02362 	36K
Angelo Badalamenti                           	4.03973 	31K
The Doors                                    	3.82479 	165K
Wu-Tang Clan                                 	3.9255  	73K
Unwound                                      	3.91443 	79K
Fiona Apple                                  	3.88038 	99K
Sweet Trip                                   	3.91276 	76K
Neil Young                                   	3.76242 	251K
Sade                                         	3.93304 	59K
Tom Waits                                    	3.80308 	165K
D'Angelo                                     	3.96767 	44K
Akira Yamaoka                                	4.05481 	23K
Pixies                                       	3.80831 	156K
Steely Dan                                   	3.86702 	94K
Ichiko Aoba                                  	3.87713 	86K
Alice in Chains                              	3.8282  	126K
Daft Punk                                    	3.78179 	181K
Lô Borges                                    	4.04709 	22K
The Stooges                                  	3.8826  	77K
black midi                                   	3.83105 	114K
Have a Nice Life                             	3.88915 	71K
Massive Attack                               	3.83171 	109K
Fela Kuti                                    	3.88177 	68K
