FromSoftware                        	36K     	4.16768 	 4.05003
Konami Computer Entertainment Japan 	11K     	4.23953 	 3.9436
Konami Computer Entertainment Tokyo 	15K     	4.09744 	 3.89906
Rockstar Games                      	24K     	3.96452 	 3.8579
Valve Corporation                   	49K     	3.90173 	 3.84967
Mojang                              	10K     	4.06849 	 3.83286
P-Studio                            	9K      	4.06269 	 3.82196
Monolith Soft                       	15K     	3.91093 	 3.78012
Kojima Productions                  	14K     	3.91875 	 3.77665
Obsidian Entertainment              	13K     	3.91042 	 3.76729
Atlus                               	16K     	3.88312 	 3.76712
Square                              	21K     	3.79337 	 3.72185
Black Isle Studios                  	4K      	4.05603 	 3.717
Ryu Ga Gotoku Studio                	9K      	3.87439 	 3.71688
Nicalis                             	6K      	3.93039 	 3.71566
CD Projekt Red                      	10K     	3.85154 	 3.71537
Nintendo                            	168K    	3.71332 	 3.70656
Rockstar North                      	32K     	3.74727 	 3.70397
Dennaton Games                      	6K      	3.92220 	 3.70179
1-UP Studio                         	4K      	3.97277 	 3.69654
Retro Studios                       	5K      	3.92482 	 3.69578
PlatinumGames                       	8K      	3.85310 	 3.69462
Looking Glass Studios               	3K      	4.07474 	 3.68181
Japan Studio                        	9K      	3.80901 	 3.67933
Naughty Dog                         	24K     	3.72719 	 3.67893
HAL Laboratory                      	27K     	3.72138 	 3.67856
Supergiant Games                    	5K      	3.86964 	 3.67255
Larian Studios                      	2K      	4.02113 	 3.66153
Ion Storm                           	2K      	4.01654 	 3.64868
Firaxis Games                       	7K      	3.76962 	 3.64845
Creatures                           	5K      	3.82221 	 3.64681
Irrational Games                    	11K     	3.72488 	 3.64608
Sora                                	8K      	3.74469 	 3.64399
Game Freak                          	36K     	3.65159 	 3.62999
Bungie                              	14K     	3.68108 	 3.6278
Insomniac Games                     	13K     	3.68082 	 3.62608
Troika Games                        	1K      	4.10285 	 3.62573
New Blood Interactive               	2K      	3.87055 	 3.61934
07th Expansion                      	1K      	4.00892 	 3.6183
Chunsoft                            	4K      	3.75889 	 3.61816
Halo Studios                        	14K     	3.66318 	 3.61646
Blizzard North                      	2K      	3.90238 	 3.61436
id Software                         	23K     	3.64115 	 3.61361
Bandai Namco Studios                	5K      	3.71524 	 3.60901
Dingaling Productions               	1K      	4.04800 	 3.60626
Clover Studio                       	2K      	3.89813 	 3.60549
Yacht Club Games                    	2K      	3.85950 	 3.60337
Chris Sawyer Productions            	1K      	3.97950 	 3.60194
Ice-Pick Lodge                      	1K      	4.02091 	 3.60179
Double Fine Productions             	5K      	3.70250 	 3.59861
Remedy Entertainment                	6K      	3.67500 	 3.5984
Resonair                            	1K      	3.95548 	 3.59802
Intelligent Systems                 	24K     	3.61683 	 3.59633
Ensemble Studios                    	3K      	3.73199 	 3.59491
Monstars                            	1K      	3.96779 	 3.59294
Amusement Vision                    	1K      	3.83407 	 3.59018
Santa Monica Studio                 	9K      	3.63818 	 3.58919
GSC Game World                      	2K      	3.75603 	 3.58541
AlphaDream                          	2K      	3.73718 	 3.585
New World Computing                 	1K      	3.82936 	 3.58481
BioWare                             	15K     	3.61069 	 3.5842
Konami                              	30K     	3.59191 	 3.57979
Grasshopper Manufacture             	3K      	3.67318 	 3.57736
Valkyrie Entertainment              	0.8K    	4.01235 	 3.57673
Smilebit                            	1K      	3.77190 	 3.57167
Square Enix                         	40K     	3.57657 	 3.56964
Eighting                            	2K      	3.65437 	 3.56411
MercurySteam Entertainment          	1K      	3.69493 	 3.56357
IO Interactive                      	7K      	3.59657 	 3.56283
Evil Empire Studio                  	1K      	3.69246 	 3.56031
Sucker Punch Productions            	5K      	3.60006 	 3.55961
Team Asobi                          	0.9K       	3.84309 	 3.55825
Polyphony Digital                   	2K      	3.62893 	 3.55743
EA Black Box                        	7K      	3.58306 	 3.55721
CAVE                                	1K      	3.69166 	 3.55596
Nitroplus                           	1K      	3.66739 	 3.55391
Sega AM2                            	0.8K    	3.73381 	 3.55273
Treasure                            	2K      	3.61891 	 3.55266
Nex Entertainment                   	3K      	3.59736 	 3.55264
Vanillaware                         	0.8K    	3.72561 	 3.55201
Nihon Falcom Corporation            	2K      	3.61229 	 3.55094
Ubisoft Entertainment               	5K      	3.57601 	 3.55071
Novectacle                          	0.2K    	4.04185 	 3.54993
5pb.                                	1K      	3.63579 	 3.54796
Key                                 	0.5K    	3.75602 	 3.5479
MicroProse                          	0.9K    	3.65601 	 3.54665
Echo Project                        	0.3K    	3.74128 	 3.54256
Cyan                                	0.9K    	3.60565 	 3.54144
SNK                                 	1K      	3.57303 	 3.54012
Ubisoft San Francisco               	1K      	3.57587 	 3.53884
Piranha Bytes                       	1K      	3.55398 	 3.53746
SkyBox Labs                         	3K      	3.53681 	 3.53484
Technōs Japan Corporation           	4K      	3.18239 	 3.53196
Quest Corporation                   	5K      	3.49052 	 3.53126
Cavia                               	1K      	3.51496 	 3.53031
Monolith Productions                	6K      	3.51096 	 3.5242
Disney Interactive                  	0.2K    	3.22430 	 3.52377
Nitrome                             	0.1K    	3.08718 	 3.52358
Gust                                	0.5K    	3.36456 	 3.52358
Namco                               	19K     	3.51831 	 3.52308
Gainax                              	0.1K    	3.02740 	 3.52302
Artdink                             	0.3K    	3.23618 	 3.52114
Relic Entertainment                 	1K      	3.45915 	 3.52106
Success                             	0.1K    	2.81071 	 3.52064
Enix                                	0.2K    	2.90011 	 3.51285
Next Level Games                    	2K      	3.42937 	 3.51196
Rare                                	15K     	3.49617 	 3.5094
Fatshark                            	0.5K    	3.12968 	 3.50692
Sony Interactive Entertainment      	2K      	3.39147 	 3.50499
Racjin                              	0.9K    	3.21400 	 3.50207
Jupiter Corporation                 	2K      	3.38032 	 3.50013
Turtle Rock Studios                 	5K      	3.44267 	 3.49844
LucasArts Entertainment Company     	9K      	3.46522 	 3.49769
Hidden Path Entertainment           	5K      	3.40824 	 3.48442
Arc System Works                    	5K      	3.38892 	 3.47661
Ripple Effect Studios               	1K      	3.08530 	 3.46811
Lionhead Studios                    	2K      	3.20538 	 3.46704
Toys for Bob                        	3K      	3.30528 	 3.46672
Bandai                              	0.7K    	2.70516 	 3.46151
Electronic Arts                     	3K      	3.30755 	 3.46014
Compile                             	2K      	3.15943 	 3.45665
Sierra Entertainment                	2K      	3.16108 	 3.45313
Yukes                               	3K      	3.23734 	 3.45067
Jaleco                              	0.6K    	2.32107 	 3.44553
Acclaim Entertainment               	1K      	2.99005 	 3.44228
Team Ninja                          	3K      	3.23682 	 3.44146
Blizzard Entertainment              	15K     	3.38452 	 3.43736
Microsoft                           	1K      	2.79722 	 3.43578
Gameloft                            	1K      	2.81251 	 3.43565
HoYoverse                           	1K      	2.67796 	 3.42303
Argonaut Games                      	1K      	2.83105 	 3.42139
Accolade                            	0.7K    	2.16174 	 3.41919
miHoYo                              	1K      	2.71727 	 3.41674
Sperasoft                           	4K      	3.20180 	 3.41413
Criterion Games                     	6K      	3.25896 	 3.41061
Ghost Games                         	1K      	2.54692 	 3.40082
Midway Games                        	9K      	3.27854 	 3.39731
Supercell                           	1K      	2.41954 	 3.38812
Activision                          	1K      	2.71784 	 3.38199
Epic Games                          	7K      	3.20689 	 3.3732
Treyarch                            	21K     	3.30418 	 3.36828
Sega                                	31K     	3.31959 	 3.36442
EA Vancouver                        	11K     	3.23423 	 3.35785
Nintendo Cube                       	2K      	2.76000 	 3.35351
Infinity Ward                       	13K     	3.23293 	 3.34531
DICE                                	11K     	3.20325 	 3.33787
Dimps                               	6K      	3.09013 	 3.33481
Taito                               	4K      	2.94094 	 3.32893
Sonic Team                          	27K     	3.11050 	 3.20773
Riot Games                          	3K      	2.26713 	 3.16555
Atari                               	9K      	2.78671 	 3.13831
