Stanley Kubrick           	4.05246 	103K
Andrei Tarkovsky          	4.07191 	35K
Sergio Leone              	4.07436 	32K
Akira Kurosawa            	3.97188 	48K
Hayao Miyazaki            	3.93718 	75K
Masaki Kobayashi          	4.15195 	12K
Elem Klimov               	4.29848 	7K
Francis Ford Coppola      	3.91108 	62K
Ingmar Bergman            	3.89448 	55K
Sidney Lumet              	3.88128 	33K
Billy Wilder              	3.87308 	31K
Satoshi Kon               	3.91268 	19K
Quentin Tarantino         	3.80417 	118K
Edward Yang               	4.03754 	8K
Orson Welles              	3.87182 	24K
Bong Joon-ho              	3.82979 	34K
Paul Thomas Anderson      	3.80638 	51K
Terry Jones               	3.85635 	20K
Miloš Forman              	3.84714 	23K
Yasujiro Ozu              	3.85093 	19K
Kazuya Tsurumaki          	3.86162 	16K
David Lynch               	3.77278 	94K
Isao Takahata             	3.86826 	14K
Federico Fellini          	3.81540 	26K
Jonathan Demme            	3.82404 	22K
Rodney Rothman            	3.93000 	8K
Bob Persichetti           	3.93000 	8K
Irvin Kershner            	3.85435 	14K
Carl Th. Dreyer           	3.87707 	12K
Martin Scorsese           	3.75462 	130K
Katsuhiro Otomo           	3.87867 	11K
Fritz Lang                	3.80576 	24K
Hideaki Anno              	3.81590 	20K
Alfred Hitchcock          	3.75873 	84K
Béla Tarr                 	3.88147 	10K
Hiroshi Teshigahara       	3.96215 	6K
Joshua Safdie             	3.82227 	16K
Joel Coen                 	3.73876 	100K
John Cassavetes           	3.82572 	13K
Kenji Mizoguchi           	3.82891 	11K
Kemp Powers               	3.96000 	5K
Justin K. Thompson        	3.96000 	5K
Wong Kar-wai              	3.76196 	27K
Joaquim dos Santos        	3.93181 	5K
Peter Ramsey              	3.82616 	9K
F. W. Murnau              	3.79974 	11K
David Lean                	3.79533 	11K
Krzysztof Kieślowski      	3.75156 	21K
Joshua Oppenheimer        	3.96882 	3K
Fernando Meirelles        	3.79768 	10K
Charles Laughton          	3.96000 	3K
Frank Capra               	3.77784 	13K
Satyajit Ray              	3.83930 	6K
Robert Bresson            	3.75545 	16K
Jean-Pierre Melville      	3.78238 	11K
Jean-Pierre Melville      	3.78239 	11K
Don Hertzfeldt            	3.75900 	15K
Robert Eggers             	3.73449 	23K
Mikhail Kalatozov         	3.93518 	3K
Vittorio De Sica          	3.77673 	10K
Henri-Georges Clouzot     	3.82169 	6K
Robert Wiene              	3.85763 	4K
Emeric Pressburger        	3.79865 	7K
