Portal                                	 16520 	4.20048 	4.02347
Souls                                 	 20519 	4.06012 	3.94075
Metal Gear Solid                      	 16897 	4.07847 	3.93534
Super Mario Galaxy                    	  7199 	4.2526  	3.92494
Red Dead                              	  9461 	4.1377  	3.90253
Mother                                	  5616 	4.283   	3.89486
Half-Life                             	 18700 	4.0125  	3.89580
Metal Gear                            	 19701 	3.98616 	3.88014
The Legend of Zelda                   	 37106 	3.93391 	3.87820
Silent Hill                           	 12041 	4.01619 	3.85498
Super Mario World                     	  8265 	4.08358 	3.85128
Undertale                             	  8244 	4.07814 	3.84778
Persona                               	 11711 	4.00701 	3.84588
Minecraft                             	 10854 	3.9895  	3.82634
Super Mario                           	 53574 	3.84512 	3.81396
Doom                                  	 15028 	3.89744 	3.79292
Celeste                               	  4747 	4.11718 	3.78980
Metroid                               	 11773 	3.89771 	3.77386
Chrono                                	  3034 	4.24076 	3.76913
The Witcher                           	  8847 	3.92087 	3.76318
Like a Dragon                         	 10479 	3.89626 	3.76317
The Last of Us                        	  7423 	3.94694 	3.76084
Nier                                  	  4248 	4.06807 	3.75335
Katamari                              	  3625 	4.09856 	3.74442
Hotline Miami                         	  6671 	3.92531 	3.73833
Donkey Kong Country                   	  6604 	3.92486 	3.73709
Castlevania: Dracula X                	  3028 	4.13358 	3.73269
Super Smash Bros.                     	 14068 	3.81104 	3.72719
Baldur's Gate                         	  3291 	4.07681 	3.72389
Grand Theft Auto                      	 27140 	3.75871 	3.71756
Resident Evil                         	 25535 	3.75659 	3.71372
The Binding of Isaac                  	  5928 	3.88237 	3.70521
Pokémon Black & White                 	  4411 	3.9176  	3.69428
Metroid Prime                         	  3405 	3.98166 	3.69358
Dungeons & Dragons                    	  5895 	3.85775 	3.69247
Ace Attorney                          	  6578 	3.83705 	3.69062
Max Payne                             	  4689 	3.89479 	3.69006
Deus Ex                               	  4970 	3.85639 	3.67786
Mario                                 	 92515 	3.68806 	3.67930
Hitman: World of Assassination        	  3208 	3.93612 	3.67144
Dishonored                            	  5088 	3.82852 	3.66693
Forgotten Realms                      	  4638 	3.83314 	3.66208
Mushroom Kingdom                      	111988 	3.67079 	3.66468
System Shock                          	  1717 	4.10255 	3.65725
God of War                            	  8653 	3.74687 	3.65802
Left 4 Dead                           	  5743 	3.78885 	3.65650
Psychonauts                           	  2250 	3.98929 	3.65512
Tetris                                	  5249 	3.79638 	3.65419
When They Cry                         	  1856 	4.04414 	3.65130
Star Wars Knights of the Old Republic 	  2591 	3.93021 	3.65054
Yoshi's Island                        	  2343 	3.94409 	3.64611
Civilization                          	  6003 	3.76461 	3.64721
Sid Meier's                           	  6411 	3.75636 	3.64681
